date;tournament_id;prefecture;shop;format;placement;player;archetype
03 Feb 26;3957;Kanagawa;【CARDBOX】青馬堂矢向店;City League (JP);1;トラムン;zoroark darmanitan
03 Feb 26;3957;Kanagawa;【CARDBOX】青馬堂矢向店;City League (JP);2;にと;grimmsnarl froslass
03 Feb 26;3957;Kanagawa;【CARDBOX】青馬堂矢向店;City League (JP);3;Qちゃん;mega froslass mega starmie
03 Feb 26;3957;Kanagawa;【CARDBOX】青馬堂矢向店;City League (JP);4;タチバナ;grimmsnarl mega froslass
03 Feb 26;3957;Kanagawa;【CARDBOX】青馬堂矢向店;City League (JP);5;みや;dragapult noctowl
03 Feb 26;3957;Kanagawa;【CARDBOX】青馬堂矢向店;City League (JP);6;みきみき;alakazam dudunsparce
03 Feb 26;3957;Kanagawa;【CARDBOX】青馬堂矢向店;City League (JP);7;やまだたろう;dragapult
03 Feb 26;3957;Kanagawa;【CARDBOX】青馬堂矢向店;City League (JP);8;みやたさん;dragapult dusknoir
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);1;たかひと;honchkrow porygon-z
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);2;戸狩;dipplin rillaboom
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);3;るん;dusknoir mega diancie
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);4;なつめぐ;thwackey dipplin
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);5;みっつんつん;mega venusaur ogerpon
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);6;ぜふ;mega lucario hariyama
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);7;ゆめ;mega lucario hariyama
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);8;アトモス;mega meganium noctowl
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);9;ホウショウ;dragapult noctowl
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);10;りびー;zoroark darmanitan
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);11;しょうゆ;mega lucario hariyama
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);12;炙りビントロ;garchomp roserade
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);13;かずき;noctowl flareon
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);14;カネ;dragapult dusknoir
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);15;ポーラ;mega venusaur ogerpon
03 Feb 26;3956;Ōsaka;トレカショップ竜のしっぽ　布施店;City League (JP);16;Kaya;dusknoir mega diancie
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);1;ウミネコ;rillaboom dipplin
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);2;かたな;dragapult blaziken
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);3;しょー;honchkrow porygon-z
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);4;ソニック;dipplin rillaboom
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);5;ゆさ;mega lucario solrock
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);6;ごっちゃん;mega venusaur ogerpon
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);7;砂;grimmsnarl munkidori
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);8;ダン;dragapult dusknoir
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);9;つーみん;mega lucario solrock
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);10;きむち;mega lucario hariyama
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);11;いな;ogerpon noctowl
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);12;ひと;mega lucario hariyama
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);13;オコメ;honchkrow porygon-z
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);14;あめれ;jellicent dusknoir
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);15;ゆう;dragapult dusknoir
03 Feb 26;3955;Chiba;トーナメントセンターバトロコ　柏駅前;City League (JP);16;与太郎;mega venusaur ogerpon
02 Feb 26;3952;Shiga;トレカショップVOW;City League (JP);1;ヤドラー;grimmsnarl froslass
02 Feb 26;3952;Shiga;トレカショップVOW;City League (JP);2;ルビー;dragapult dusknoir
02 Feb 26;3952;Shiga;トレカショップVOW;City League (JP);3;たかし;dragapult noctowl
02 Feb 26;3952;Shiga;トレカショップVOW;City League (JP);4;はやってい;honchkrow porygon-z
02 Feb 26;3952;Shiga;トレカショップVOW;City League (JP);5;マサキ;mega venusaur ogerpon
02 Feb 26;3952;Shiga;トレカショップVOW;City League (JP);6;氷河;spidops mewtwo
02 Feb 26;3952;Shiga;トレカショップVOW;City League (JP);7;クロスケ;dragapult mega starmie
02 Feb 26;3952;Shiga;トレカショップVOW;City League (JP);8;アンパン;alakazam dudunsparce
