deck_name;status;trend;old_rank;new_rank;rank_change;old_count;new_count;count_change;old_share;new_share;share_change;old_winrate;new_winrate;winrate_change
Dragapult Dusknoir;BESTEHEND;STABIL;1;1;0;5386;5386;0;10,93;10,93;0,0;51,17;51,17;0,0
Gholdengo Lunatone;BESTEHEND;STABIL;2;2;0;4365;4365;0;8,86;8,86;0,0;52,25;52,25;0,0
Gardevoir Jellicent;BESTEHEND;STABIL;3;3;0;2408;2408;0;4,89;4,89;0,0;50,08;50,08;0,0
Charizard Noctowl;BESTEHEND;STABIL;4;4;0;2358;2358;0;4,78;4,78;0,0;52,17;52,17;0,0
Charizard Pidgeot;BESTEHEND;STABIL;5;5;0;2125;2125;0;4,31;4,31;0,0;48,15;48,15;0,0
Alakazam Dudunsparce;BESTEHEND;STABIL;7;7;0;2003;2003;0;4,06;4,06;0,0;50,87;50,87;0,0
Mega Absol Box;BESTEHEND;STABIL;8;8;0;1947;1947;0;3,95;3,95;0,0;49,6;49,6;0,0
Grimmsnarl Froslass;BESTEHEND;STABIL;9;9;0;1843;1843;0;3,74;3,74;0,0;52,03;52,03;0,0
N's Zoroark;BESTEHEND;STABIL;10;10;0;1756;1756;0;3,56;3,56;0,0;47,16;47,16;0,0
Kangaskhan Bouffalant;BESTEHEND;STABIL;11;11;0;1673;1673;0;3,39;3,39;0,0;51,07;51,07;0,0
Gardevoir;BESTEHEND;STABIL;12;12;0;1489;1489;0;3,02;3,02;0,0;51,9;51,9;0,0
Lopunny Dusknoir;BESTEHEND;STABIL;13;13;0;1264;1264;0;2,56;2,56;0,0;47,86;47,86;0,0
Raging Bolt Ogerpon;BESTEHEND;STABIL;14;14;0;1238;1238;0;2,51;2,51;0,0;50,5;50,5;0,0
Ceruledge;BESTEHEND;STABIL;15;15;0;1196;1196;0;2,43;2,43;0,0;48,61;48,61;0,0
Dragapult Charizard;BESTEHEND;STABIL;16;16;0;909;909;0;1,84;1,84;0,0;53,11;53,11;0,0
Tera Box;BESTEHEND;STABIL;17;17;0;861;861;0;1,75;1,75;0,0;48,51;48,51;0,0
Sharpedo Toxtricity;BESTEHEND;STABIL;18;18;0;705;705;0;1,43;1,43;0,0;44,0;44,0;0,0
Flareon Noctowl;BESTEHEND;STABIL;19;19;0;681;681;0;1,38;1,38;0,0;46,49;46,49;0,0
Greninja;BESTEHEND;STABIL;20;20;0;677;677;0;1,37;1,37;0,0;49,08;49,08;0,0
Mega Venusaur;BESTEHEND;STABIL;21;21;0;677;677;0;1,37;1,37;0,0;45,56;45,56;0,0
Lucario Hariyama;BESTEHEND;STABIL;22;22;0;628;628;0;1,27;1,27;0,0;49,37;49,37;0,0
Gholdengo;BESTEHEND;STABIL;23;23;0;550;550;0;1,12;1,12;0,0;48,99;48,99;0,0
Joltik Box;BESTEHEND;STABIL;24;24;0;515;515;0;1,04;1,04;0,0;49,34;49,34;0,0
Cynthia's Garchomp;BESTEHEND;STABIL;25;25;0;499;499;0;1,01;1,01;0,0;48,06;48,06;0,0
Seaking Festival Lead;BESTEHEND;STABIL;26;26;0;430;430;0;0,87;0,87;0,0;52,81;52,81;0,0
Slowking;BESTEHEND;STABIL;27;27;0;422;422;0;0,86;0,86;0,0;45,02;45,02;0,0
Froslass Munkidori;BESTEHEND;STABIL;28;28;0;418;418;0;0,85;0,85;0,0;47,59;47,59;0,0
Hydreigon;BESTEHEND;STABIL;29;29;0;367;367;0;0,74;0,74;0,0;40,01;40,01;0,0
Festival Lead;BESTEHEND;STABIL;30;30;0;351;351;0;0,71;0,71;0,0;50,51;50,51;0,0
Dragapult;BESTEHEND;STABIL;31;31;0;339;339;0;0,69;0,69;0,0;50,62;50,62;0,0
Pidgeot Control;BESTEHEND;STABIL;32;32;0;337;337;0;0,68;0,68;0,0;47,34;47,34;0,0
Toxtricity Box;BESTEHEND;STABIL;33;33;0;328;328;0;0,67;0,67;0,0;45,67;45,67;0,0
Crustle;BESTEHEND;STABIL;34;34;0;322;322;0;0,65;0,65;0,0;47,52;47,52;0,0
Ethan's Typhlosion;BESTEHEND;STABIL;35;35;0;313;313;0;0,64;0,64;0,0;45,85;45,85;0,0
Rocket's Mewtwo;BESTEHEND;STABIL;36;36;0;289;289;0;0,59;0,59;0,0;43,59;43,59;0,0
Ursaluna Lunatone;BESTEHEND;STABIL;37;37;0;220;220;0;0,45;0,45;0,0;48,92;48,92;0,0
Gholdengo Joltik Box;BESTEHEND;STABIL;38;38;0;196;196;0;0,4;0,4;0,0;50,12;50,12;0,0
Mega Charizard X;BESTEHEND;STABIL;39;39;0;189;189;0;0,38;0,38;0,0;35,71;35,71;0,0
Ho-Oh Armarouge;BESTEHEND;STABIL;40;40;0;186;186;0;0,38;0,38;0,0;46,65;46,65;0,0
Iron Hands Magneton;BESTEHEND;STABIL;41;41;0;179;179;0;0,36;0,36;0,0;46,13;46,13;0,0
Marnie's Grimmsnarl;BESTEHEND;STABIL;42;42;0;176;176;0;0,36;0,36;0,0;43,66;43,66;0,0
Mega Lucario;BESTEHEND;STABIL;43;43;0;172;172;0;0,35;0,35;0,0;45,86;45,86;0,0
Ogerpon Meganium;BESTEHEND;STABIL;44;44;0;171;171;0;0,35;0,35;0,0;47,75;47,75;0,0
Roaring Moon;BESTEHEND;STABIL;45;45;0;149;149;0;0,3;0,3;0,0;48,5;48,5;0,0
Hop's Zacian;BESTEHEND;STABIL;46;46;0;147;147;0;0,3;0,3;0,0;40,86;40,86;0,0
Slaking;BESTEHEND;STABIL;47;47;0;144;144;0;0,29;0,29;0,0;45,58;45,58;0,0
Hydrapple Ogerpon;BESTEHEND;STABIL;48;48;0;135;135;0;0,27;0,27;0,0;44,31;44,31;0,0
Archaludon;BESTEHEND;STABIL;49;49;0;130;130;0;0,26;0,26;0,0;45,37;45,37;0,0
Kangaskhan Forretress;BESTEHEND;STABIL;50;50;0;126;126;0;0,26;0,26;0,0;46,98;46,98;0,0
Chien-Pao Baxcalibur;BESTEHEND;STABIL;51;51;0;116;116;0;0,24;0,24;0,0;40,5;40,5;0,0
Conkeldurr;BESTEHEND;STABIL;52;52;0;110;110;0;0,22;0,22;0,0;46,37;46,37;0,0
Iron Valiant;BESTEHEND;STABIL;53;53;0;109;109;0;0,22;0,22;0,0;51,72;51,72;0,0
Manectric Eelektrik;BESTEHEND;STABIL;54;54;0;109;109;0;0,22;0,22;0,0;42,83;42,83;0,0
Mega Lopunny;BESTEHEND;STABIL;55;55;0;107;107;0;0,22;0,22;0,0;46,02;46,02;0,0
Wugtrio Mill;BESTEHEND;STABIL;56;56;0;106;106;0;0,22;0,22;0,0;41,7;41,7;0,0
Charizard;BESTEHEND;STABIL;57;57;0;105;105;0;0,21;0,21;0,0;38,41;38,41;0,0
Terapagos Noctowl;BESTEHEND;STABIL;58;58;0;103;103;0;0,21;0,21;0,0;46,81;46,81;0,0
Raging Bolt;BESTEHEND;STABIL;59;59;0;86;86;0;0,17;0,17;0,0;41,03;41,03;0,0
Mega Abomasnow;BESTEHEND;STABIL;60;60;0;77;77;0;0,16;0,16;0,0;38,94;38,94;0,0
Feraligatr;BESTEHEND;STABIL;61;61;0;72;72;0;0,15;0,15;0,0;39,26;39,26;0,0
